Fragmento,Codigo,Categoria,Requisito_derivado,ID_evidencia,Analista_codificador
No se maneja una agenda formal... se atiende por orden de llegada,Ausencia de agenda formal de citas,Citas,El sistema deberá permitir implementar una agenda formal de citas incluso en clínicas que hoy atienden solo por orden de llegada.,P13,Marcillo (Analista Líder)
"No hay un proceso estandarizado, cada quien decide cómo comunicarse según el caso","Comunicación no estandarizada, dependiente de cada persona",Comunicación,El sistema deberá estandarizar los canales y el proceso de comunicación con los propietarios.,P13,Marcillo (Analista Líder)
Le puse el máximo porque veo mucho potencial... a que no se pasen por alto detalles importantes,"Total acuerdo (5/5) con IA diagnóstica, valorado como apoyo en formación",Inteligencia Artificial,"El sistema de IA deberá ayudar a detectar detalles clínicos relevantes, con valor especial para personal en formación.",P13,Marcillo (Analista Líder)
Sin dudarlo sería alta confianza... lo usaría como referencia directa para tomar decisiones,Alta confianza en IA como referencia directa,Inteligencia Artificial,El sistema de IA deberá poder usarse como referencia directa de apoyo a la decisión clínica.,P13,Marcillo (Analista Líder)
Que las recomendaciones estén respaldadas por literatura validada y que sea fácil de usar sin capacitación prolongada,Condiciones de confianza: literatura validada y facilidad de uso,Inteligencia Artificial,El sistema de IA deberá basar sus recomendaciones en literatura validada y ser utilizable sin capacitación prolongada.,P13,Marcillo (Analista Líder)
Preferiblemente sería en el teléfono móvil,Preferencia de acceso móvil sobre computadora,Usabilidad,El sistema deberá optimizar la experiencia de uso en dispositivos móviles.,P13,Marcillo (Analista Líder)
[Escala conectividad] Yo le pondría un 4,Alta frecuencia de cortes de conectividad (4/5),Usabilidad,El sistema deberá tolerar cortes de conectividad frecuentes sin pérdida de datos.,P13,Marcillo (Analista Líder)
"Que la herramienta permita registrar fotos del paciente: heridas, lesiones, la evolución",Registro fotográfico de evolución clínica vinculado a la ficha,Historia clínica,"El sistema deberá permitir adjuntar fotografías de evolución clínica (heridas, lesiones) directamente en la ficha del paciente.",P13,Marcillo (Analista Líder)
Las historias clínicas se realizan en cuadernos físicos... en algunos casos cambiamos esto a hojas de Excel,Registro en cuadernos físicos y hojas de Excel,Historia clínica,El sistema deberá reemplazar cuadernos físicos y hojas de Excel dispersas por un módulo unificado de historia clínica.,P16,Marcillo (Analista Líder)
Consultas de 10 a 15 minutos porque hay que copiar datos que ya estaban en anteriores fichas,Duplicación manual de datos ya existentes en fichas anteriores,Historia clínica,El sistema deberá evitar la duplicación manual de datos ya existentes en consultas previas.,P16,Marcillo (Analista Líder)
A veces se cobra un servicio que no corresponde o se nos olvida cobrar pequeñas cosas,Errores de cobro por servicios olvidados o cobrados incorrectamente,Facturación,"El sistema deberá calcular automáticamente los cobros a partir de los servicios registrados, evitando omisiones o errores.",P16,Marcillo (Analista Líder)
Hemos tenido casos de medicamentos vencidos y no hay una alerta que nos avise,Medicamentos vencidos sin alerta previa,Inventario,El sistema deberá emitir alertas previas de vencimiento de medicamentos.,P16,Marcillo (Analista Líder)
Nos cancelan de dos a tres a la semana... no usamos ningún recordatorio automático,Cancelaciones frecuentes sin recordatorio automático,Citas,El sistema deberá implementar recordatorios automáticos de citas para reducir cancelaciones sin aviso.,P16,Marcillo (Analista Líder)
Nos consume bastante tiempo fuera de nuestro horario laboral... comunicación por WhatsApp personal de cada doctor,Comunicación por WhatsApp personal consume tiempo fuera de horario laboral,Comunicación,El sistema deberá centralizar la comunicación con propietarios para reducir el uso de canales personales fuera de horario laboral.,P16,Marcillo (Analista Líder)
Nos dicen que en el chat GPT vieron que sí podría... no es tan confiable como un veterinario físicamente,Desconfianza en fuentes de internet no validadas usadas por propietarios,Inteligencia Artificial,"El sistema de IA deberá presentarse como fuente confiable y validada, en contraste con fuentes no verificadas que consultan los propietarios.",P16,Marcillo (Analista Líder)
[Escala] El cuatro... siempre debe quedar la decisión final en manos del especialista,"Acuerdo alto (4/5) con IA sugiriendo diagnósticos, decisión final del veterinario",Inteligencia Artificial,El sistema de IA deberá sugerir diagnósticos manteniendo la decisión final exclusivamente en manos del veterinario.,P16,Marcillo (Analista Líder)
Confianza moderada... porque no conocemos a fondo cómo funciona un sistema así,"Confianza moderada en IA, con validación propia",Inteligencia Artificial,El sistema de IA deberá presentarse con transparencia suficiente para generar confianza pese al desconocimiento técnico del usuario.,P16,Marcillo (Analista Líder)
Que el veterinario pueda revisar y corregir las sugerencias... que los datos no se compartan con terceros,Condiciones de confianza: revisión veterinaria y protección de datos,Inteligencia Artificial,El sistema de IA deberá permitir revisión/corrección de sugerencias y garantizar protección de datos de pacientes.,P16,Marcillo (Analista Líder)
Necesita acceso desde cualquier dispositivo... funcione rápido... el personal cambia con mucha frecuencia,Necesidad de acceso multiplataforma y rapidez por alta rotación de personal,Usabilidad,"El sistema deberá ser utilizable desde cualquier dispositivo con una curva de aprendizaje mínima, dada la alta rotación de personal.",P16,Marcillo (Analista Líder)
El tema de las vacunas con alertas de refuerzo... hay mascotas que han llegado con vacunas atrasadas sin que nadie lo detectara,Solicitud de alertas de refuerzo de vacunas,Historia clínica,El sistema deberá generar alertas automáticas de refuerzo de vacunación para evitar atrasos no detectados.,P16,Marcillo (Analista Líder)
