Fragmento,Codigo,Categoria,Participante
"No hay control formal de inventario; se revisa ""a ojo"" y a veces vencen medicamentos sin que nadie lo note",Inventario visual sin control formal ni alertas de caducidad,Inventario,P13
"No hay agenda formal; se atiende por orden de llegada, pero sí se pierden citas de vacunas o cirugías",Ausencia de agenda formal y pérdida de citas importantes,Citas y comunicación con propietarios,P13
"La comunicación con dueños se da por redes sociales o llamada telefónica, sin proceso estandarizado",Comunicación por redes o llamadas sin estandarización,Citas y comunicación con propietarios,P13
"El peso se anota en el cuaderno, sin forma de graficar o comparar la evolución; no hay seguimiento nutricional formal",Registro de peso sin análisis de evolución nutricional,Historia clínica y gestión de pacientes,P13
"Los dueños preguntan casi a diario sobre alimentación; las recomendaciones se dan según la experiencia del doctor, sin guía estandarizada",Recomendaciones alimentarias basadas en experiencia sin guía,Historia clínica y gestión de pacientes,P13
"El cumplimiento de indicaciones es muy bajo; los dueños suspenden la medicación al ver mejoría, sin seguimiento activo",Incumplimiento de tratamiento y ausencia de seguimiento activo,Citas y comunicación con propietarios,P13
Prefiere que el dueño traiga al paciente para revisión antes que ajustar el tratamiento a ciegas por teléfono,Preferencia por revisión presencial antes de ajustar tratamiento,Historia clínica y gestión de pacientes,P13
No utiliza ningún software especializado; el manejo es completamente manual con cuaderno,Gestión completamente manual sin software especializado,Usabilidad y desempeño,P13
Totalmente de acuerdo (5/5) con que la IA sugiera diagnósticos; ve potencial para compensar la falta de experiencia,Aceptación alta de IA para apoyar el diagnóstico,Inteligencia Artificial,P13
Mayor carga de trabajo en organizar y localizar fichas de pacientes ya atendidos,Dificultad para organizar y localizar historiales,Historia clínica y gestión de pacientes,P13
"Alta confianza en la IA como referencia directa, por estar aún en formación",Alta confianza en IA como referencia durante formación,Inteligencia Artificial,P13
Prioriza respaldo científico validado y facilidad de uso sin capacitación prolongada,Necesidad de respaldo científico y facilidad de uso,Usabilidad y desempeño,P13
Necesita organizar la información de pacientes por fecha y nombre en vez de un cuaderno cronológico único,Necesidad de organizar información por paciente y fecha,Historia clínica y gestión de pacientes,P13
Requiere una herramienta sencilla de aprender porque el doctor no tiene tiempo ni paciencia para algo complicado,Requisito de aprendizaje sencillo de la herramienta,Usabilidad y desempeño,P13
Prefiere acceder preferentemente desde el teléfono móvil,Preferencia de acceso por teléfono móvil,Usabilidad y desempeño,P13
Reporta problemas de conectividad frecuentes (4 de 5),Problemas frecuentes de conectividad,Usabilidad y desempeño,P13
Sugiere que la herramienta permita registrar fotos de heridas o lesiones vinculadas a la ficha del paciente,Registro de fotografías clínicas vinculado a la ficha,Historia clínica y gestión de pacientes,P13
Las historias se llevan en cuadernos físicos y hojas de Excel de la doctora principal; se pierde información al llenarse el cuaderno,Historia clínica dispersa entre cuadernos y Excel,Historia clínica y gestión de pacientes,P16
"En urgencias, historiales incompletos o la ausencia de quien registró la última consulta generan demoras riesgosas",Demoras por historiales incompletos en urgencias,Historia clínica y gestión de pacientes,P16
El cobro se lleva separado de las fichas clínicas; a veces se olvida cobrar o se cobra un servicio incorrecto,Errores y omisiones de cobro por separación de registros,Gestión administrativa y financiera,P16
La revisión de inventario es semanal y manual; ha habido medicamentos vencidos sin alerta que avise,Inventario semanal manual con vencimientos sin alerta,Inventario,P16
"Cancelan de 2 a 3 citas por semana sin aviso; no usan recordatorio automático, solo mensajes",Cancelaciones frecuentes sin sistema automático de recordatorio,Citas y comunicación con propietarios,P16
La comunicación es por WhatsApp personal de cada doctor y consume tiempo fuera del horario laboral,WhatsApp personal genera carga fuera del horario laboral,Citas y comunicación con propietarios,P16
El peso se registra en fichas físicas; no encuentran una forma fácil de digitalizar o comparar los datos,Peso registrado en papel sin comparación digital,Historia clínica y gestión de pacientes,P16
"Los dueños citan información de Google o ChatGPT sobre alimentación, que considera poco confiable",Información nutricional de IA/internet percibida como poco confiable,Inteligencia Artificial,P16
"El cumplimiento de indicaciones depende del dueño; solo se enteran si empeora, regresa o llama",Seguimiento limitado del cumplimiento del propietario,Citas y comunicación con propietarios,P16
"Pide al dueño ser descriptivo y enviar fotos para ajustar el tratamiento a distancia, aunque prefiere la consulta presencial",Ajuste remoto apoyado en descripción y fotografías,Historia clínica y gestión de pacientes,P16
"Solo usa herramientas básicas: hoja de cálculo, WhatsApp o agenda digital",Uso de herramientas digitales básicas no especializadas,Usabilidad y desempeño,P16
"Confianza alta (4/5) en que la IA detecte patrones, pero la decisión final debe ser del veterinario",IA útil para detectar patrones con decisión final veterinaria,Inteligencia Artificial,P16
Mayor carga de trabajo en la búsqueda y doble anotación de historiales clínicos,Carga por búsqueda y duplicación de historiales,Historia clínica y gestión de pacientes,P16
"Confianza moderada en la IA como apoyo con validación propia, por no conocer a fondo su funcionamiento",IA como apoyo con validación por desconocimiento de su funcionamiento,Inteligencia Artificial,P16
Requiere poder revisar y corregir las sugerencias de la IA antes de aplicarlas,Control humano sobre sugerencias de IA antes de aplicarlas,Inteligencia Artificial,P16
"Prioriza que los datos de los pacientes estén protegidos y no se compartan con terceros, para no perder el control profesional",Protección y confidencialidad de datos del paciente,Seguridad,P16
"Necesita resolver la búsqueda de fichas por paciente, sin depender de papeles sueltos ni de la memoria de quien atendió",Necesidad de búsqueda directa de fichas por paciente,Historia clínica y gestión de pacientes,P16
"Requiere rapidez, acceso desde el celular y baja curva de aprendizaje porque el personal cambia con frecuencia","Rapidez, acceso móvil y baja curva de aprendizaje",Usabilidad y desempeño,P16
Necesita acceso desde cualquier dispositivo,Acceso multiplataforma como requisito,Usabilidad y desempeño,P16
Reporta conectividad moderadamente afectada (3/5) por cortes de luz,Conectividad afectada por cortes de energía,Usabilidad y desempeño,P16
"Solicita alertas automáticas de refuerzo de vacunas, ya que actualmente depende de la memoria del dueño",Alertas automáticas para refuerzos de vacunas,Citas y comunicación con propietarios,P16
